,activity_cpu_time,activity_restarts,activity_gprof_filename,chb_cpu_time,chb_restarts,chb_gprof_filename,chb_cpu_time_no_heur
g2-modgen-n200-m90860q08c40-29667,1634.9,28,g2-modgen-n200-m90860q08c40-29667.cnf.gprof.txt,15930.8,30,g2-modgen-n200-m90860q08c40-29667.cnf.gprof.txt,13696.24
g2-modgen-n200-m90860q08c40-3230,349.441,24,g2-modgen-n200-m90860q08c40-3230.cnf.gprof.txt,23710.8,31,g2-modgen-n200-m90860q08c40-3230.cnf.gprof.txt,20803.89
g2-modgen-n200-m90860q08c40-6967,7373.03,31,g2-modgen-n200-m90860q08c40-6967.cnf.gprof.txt,52061.5,33,g2-modgen-n200-m90860q08c40-6967.cnf.gprof.txt,45797.42
g2-slp-synthesis-aes-top28,1654.82,23,g2-slp-synthesis-aes-top28.cnf.gprof.txt,388357.0,28,g2-slp-synthesis-aes-top28.cnf.gprof.txt,376657.15
g2-slp-synthesis-aes-top29,2479.3,24,g2-slp-synthesis-aes-top29.cnf.gprof.txt,144772.0,26,g2-slp-synthesis-aes-top29.cnf.gprof.txt,133403.88
mp1-21.0,87.3581,20,mp1-21.0.cnf.gprof.txt,1580.78,21,mp1-21.0.cnf.gprof.txt,1216.38
mp1-22.4,124782.0,33,mp1-22.4.cnf.gprof.txt,49956.9,30,mp1-22.4.cnf.gprof.txt,45277.2
mp1-9_1,960.992,26,mp1-9_1.cnf.gprof.txt,721.186,23,mp1-9_1.cnf.gprof.txt,636.136
mp1-9_11,49.9624,19,mp1-9_11.cnf.gprof.txt,524.682,23,mp1-9_11.cnf.gprof.txt,463.012
mp1-9_19,35093.4,33,mp1-9_19.cnf.gprof.txt,4956.95,28,mp1-9_19.cnf.gprof.txt,4413.99
mp1-9_4,9180.31,30,mp1-9_4.cnf.gprof.txt,71228.9,34,mp1-9_4.cnf.gprof.txt,66560.79
mp1-9_44,55486.6,34,mp1-9_44.cnf.gprof.txt,52789.5,33,mp1-9_44.cnf.gprof.txt,48979.7
mp1-9_9,1729.35,27,mp1-9_9.cnf.gprof.txt,701.087,23,mp1-9_9.cnf.gprof.txt,621.547
mp1-squ_any_s09x07_c27_abio_UNS,1221.84,29,mp1-squ_any_s09x07_c27_abio_UNS.cnf.gprof.txt,4804.03,29,mp1-squ_any_s09x07_c27_abio_UNS.cnf.gprof.txt,3988.14
